feature1,feature2,target
-1.09,-0.73,0.00
0.76,-2.64,1.00
-0.53,1.70,0.00
-0.37,0.78,0.00
-0.47,-1.45,0.00
-0.18,2.28,0.00
-1.09,2.42,0.00
-0.85,0.48,0.00
1.04,0.83,1.00
-1.32,1.47,0.00
-0.65,3.83,0.00
-1.09,-1.21,0.00
-0.78,1.33,0.00
-0.35,1.07,0.00
-1.27,0.73,0.00
-0.79,1.54,0.00
-1.51,-1.23,0.00
0.22,-1.05,0.00
-1.19,1.36,0.00
-0.92,0.92,0.00
-0.70,-0.44,0.00
-1.27,0.80,0.00
-1.02,-1.17,0.00
-1.63,0.06,0.00
-0.41,1.55,0.00
-0.46,-0.96,0.00
-0.79,1.22,0.00
-0.58,1.71,0.00
-0.47,-1.61,0.00
-1.55,0.46,0.00
-0.91,-0.52,0.00
-2.03,-0.15,0.00
-0.42,0.35,0.00
-0.66,-1.08,0.00
-1.13,0.57,0.00
1.19,-0.35,1.00
1.08,0.99,1.00
-1.61,-0.87,0.00
-0.86,0.52,0.00
1.01,0.95,1.00
-1.13,0.08,0.00
-1.23,-1.87,0.00
-1.30,-1.39,0.00
1.17,0.83,1.00
-1.28,0.17,0.00
-0.38,1.28,0.00
-0.77,0.99,0.00
-1.34,0.38,0.00
-1.47,-1.75,0.00
-1.20,-1.09,0.00
-1.01,-1.53,0.00
-1.58,-0.62,0.00
-0.26,-0.23,0.00
-1.17,0.86,0.00
-0.66,1.54,0.00
0.74,-2.16,1.00
-0.45,2.33,0.00
-0.94,-0.67,0.00
-0.96,1.98,0.00
-1.04,-0.94,0.00
-0.45,1.46,0.00
-1.19,0.69,0.00
-1.70,0.43,0.00
-0.62,-0.89,0.00
0.74,-0.92,0.00
-1.30,-0.10,0.00
1.25,0.20,1.00
-0.93,-0.04,0.00
-1.40,0.78,0.00
-0.31,-1.98,0.00
-1.05,-1.16,0.00
-0.15,-0.53,0.00
-1.03,-1.91,0.00
-1.47,-1.38,0.00
-1.48,0.90,0.00
-0.62,1.45,0.00
-2.00,-1.35,0.00
-1.39,-0.92,0.00
-1.35,0.85,0.00
-1.25,1.15,0.00
-1.24,-1.23,0.00
-0.64,-0.51,0.00
-1.34,-0.87,0.00
0.88,1.37,1.00
-0.94,-0.67,0.00
-1.03,0.54,0.00
-1.46,-1.30,0.00
-0.54,1.30,0.00
-1.53,0.76,0.00
-1.03,-0.75,0.00
-1.88,-0.38,0.00
-1.13,-0.98,0.00
-0.87,2.29,0.00
-0.54,1.00,0.00
-0.29,-1.78,0.00
0.81,1.35,1.00
-0.58,0.19,0.00
-2.00,-1.91,0.00
0.03,-0.95,0.00
-0.45,1.37,0.00
-1.39,1.35,0.00
-0.98,-0.37,0.00
-0.74,-1.10,0.00
0.86,-1.32,1.00
-0.58,1.77,0.00
-2.03,-2.69,0.00
-1.43,-0.71,0.00
-1.26,1.35,0.00
-0.65,1.57,0.00
-1.03,-1.18,0.00
-1.56,0.88,0.00
0.99,-0.78,1.00
-1.86,-2.15,0.00
-0.98,1.25,0.00
0.75,-2.72,1.00
-0.16,0.93,0.00
-0.47,-0.95,0.00
-0.78,-1.64,0.00
-1.99,-1.61,0.00
-0.48,-1.09,0.00
-0.55,1.65,0.00
-1.49,1.51,0.00
-1.87,-2.07,0.00
-1.68,0.43,0.00
-0.73,0.49,0.00
-1.08,-0.78,0.00
-1.55,2.06,0.00
-1.16,-1.48,0.00
-1.26,-0.64,0.00
-0.97,1.48,0.00
-0.43,-1.11,0.00
-0.87,-1.25,0.00
1.05,-1.82,1.00
-1.90,0.56,0.00
0.04,-0.42,0.00
-1.11,-0.19,0.00
-0.13,-0.76,0.00
-0.93,1.97,0.00
-0.22,0.97,0.00
-1.17,1.98,0.00
-0.71,1.99,0.00
-1.16,0.70,0.00
-0.98,0.83,0.00
-1.13,0.45,0.00
-0.46,0.27,0.00
-0.73,1.71,0.00
-0.71,-1.42,0.00
-1.15,-1.52,0.00
-1.07,0.19,0.00
-0.68,-0.09,0.00
-0.93,0.33,0.00
-1.43,-0.77,0.00
-0.93,0.70,0.00
-0.73,-1.24,0.00
-0.52,-0.03,0.00
-1.68,-1.47,0.00
-2.45,-1.88,0.00
-0.47,2.18,0.00
-0.48,2.37,0.00
-1.07,1.46,0.00
0.13,0.88,0.00
-1.00,-0.87,0.00
-1.56,1.15,0.00
-0.64,0.86,0.00
-0.76,1.19,0.00
-1.22,2.05,0.00
-1.27,-1.25,0.00
1.08,0.67,1.00
-0.43,-0.96,0.00
-0.49,1.82,0.00
0.04,-0.99,0.00
-1.53,-0.73,0.00
-0.98,0.70,0.00
-0.42,1.50,0.00
-1.07,1.01,0.00
-1.38,0.69,0.00
-1.30,-1.54,0.00
0.01,-1.01,0.00
-1.92,-1.17,0.00
0.03,-0.90,0.00
-0.45,-0.02,0.00
-0.75,2.11,0.00
-0.87,0.71,0.00
-1.33,1.97,0.00
-0.61,1.04,0.00
-0.45,-0.62,0.00
1.10,-0.68,1.00
-1.28,1.66,0.00
-0.96,0.67,0.00
-1.41,0.12,0.00
-1.17,1.86,0.00
-1.31,0.81,0.00
-0.37,-1.51,0.00
0.90,-1.39,1.00
1.07,-1.66,1.00
-0.54,1.39,0.00
-1.70,0.72,0.00
-1.46,-1.21,0.00
-1.25,1.01,0.00
-1.23,-1.22,0.00
0.86,1.15,1.00
1.05,1.02,1.00
-0.56,0.30,0.00
-0.73,-0.71,0.00
-0.83,-1.55,0.00
-1.07,-1.10,0.00
0.90,1.30,1.00
-0.82,0.29,0.00
-1.42,-1.65,0.00
-1.51,-1.45,0.00
-2.01,-2.07,0.00
0.87,-1.83,1.00
-0.45,-0.12,0.00
-0.10,-1.21,0.00
-1.06,1.18,0.00
-0.19,1.23,0.00
-0.59,1.33,0.00
-0.71,1.98,0.00
-0.85,-1.04,0.00
-1.35,-0.89,0.00
-0.56,0.98,0.00
0.87,-0.62,1.00
-0.68,-1.06,0.00
-1.36,0.53,0.00
-0.89,-0.86,0.00
-1.66,-0.75,0.00
-1.36,0.80,0.00
-0.72,-0.61,0.00
-1.55,1.09,0.00
-1.20,-0.15,0.00
-1.48,-1.62,0.00
-1.82,1.53,0.00
-0.90,1.69,0.00
-0.59,0.18,0.00
-1.00,0.11,0.00
-1.26,1.36,0.00
-0.53,-1.40,0.00
0.30,-0.62,0.00
-0.82,0.18,0.00
-0.43,0.06,0.00
-0.37,-0.77,0.00
-1.80,-1.31,0.00
-0.96,0.03,1.00
-0.73,0.20,0.00
-0.26,-1.69,0.00
-1.08,-0.70,0.00
1.12,-2.17,1.00
-0.29,-1.73,0.00
-1.38,0.24,0.00
-1.34,-0.98,0.00
-0.74,-1.76,0.00
0.12,0.81,0.00
-0.75,2.26,0.00
-1.83,-1.10,0.00
-1.30,-1.17,0.00
-1.01,1.18,0.00
0.04,0.01,0.00
0.92,-1.97,1.00
-1.70,1.03,0.00
-1.01,0.85,0.00
-1.13,-1.56,0.00
-1.05,1.43,0.00
-1.82,-1.37,0.00
-1.22,-1.15,0.00
-1.00,2.14,0.00
-1.09,-0.89,0.00
-0.93,0.67,0.00
-0.47,-3.01,0.00
-0.83,-1.04,0.00
-1.65,-1.61,0.00
0.77,1.50,1.00
-1.29,2.11,0.00
-1.80,1.05,0.00
-0.85,-1.14,0.00
-0.24,0.74,0.00
-0.61,-0.61,0.00
-0.35,-1.26,0.00
-0.59,1.13,0.00
0.97,-0.06,1.00
-1.21,1.19,0.00
-0.94,0.21,0.00
1.01,-0.88,1.00
-0.86,-0.80,0.00
-0.71,-0.90,0.00
-1.13,0.92,0.00
-0.14,-1.61,0.00
-0.82,1.56,0.00
1.21,0.18,1.00
-0.80,-0.71,0.00
-0.76,1.51,0.00
-1.80,0.34,0.00
-1.50,-0.21,0.00
0.26,-1.21,0.00
-0.01,1.79,0.00
1.07,0.50,1.00
-0.78,-1.64,0.00
-1.38,-0.72,0.00
-1.45,-1.57,0.00
0.00,-0.07,0.00
-1.16,1.40,0.00
-1.48,1.00,0.00
-0.31,-1.31,0.00
1.07,0.81,1.00
-1.13,-1.36,0.00
-0.95,-1.59,0.00
-1.15,0.26,0.00
-2.23,1.25,0.00
-1.63,2.20,0.00
-0.68,-0.79,0.00
-0.77,-1.02,0.00
-1.26,1.86,0.00
0.76,-1.53,1.00
-1.79,-1.89,0.00
-1.97,0.53,0.00
-1.51,-0.61,0.00
0.81,1.38,1.00
-1.85,0.50,0.00
0.15,-1.69,0.00
-1.22,-1.20,0.00
-1.13,-1.41,0.00
-1.21,-1.67,0.00
-1.18,-1.39,0.00
-1.18,1.82,0.00
-0.69,1.11,0.00
-1.26,0.66,0.00
-2.20,0.87,0.00
-1.41,2.56,0.00
-0.91,-1.40,0.00
-1.25,0.61,0.00
-1.10,0.53,0.00
-1.02,2.20,0.00
-0.48,1.36,0.00
-1.09,1.64,0.00
-1.26,1.68,0.00
-1.19,1.10,0.00
-0.54,-0.84,0.00
-0.69,1.31,0.00
-0.71,-0.27,0.00
-0.91,1.64,0.00
-0.70,1.17,0.00
-0.64,-0.47,0.00
1.10,0.59,1.00
-2.49,-1.53,0.00
-2.42,0.75,0.00
-1.50,1.09,0.00
-0.76,-1.27,0.00
-0.48,1.25,0.00
-0.54,0.97,1.00
-0.28,-1.62,0.00
-1.76,0.05,0.00
-1.16,0.15,0.00
-0.06,1.13,0.00
-0.92,1.88,0.00
-1.58,2.22,0.00
-1.28,-1.11,0.00
-1.38,1.21,0.00
-0.57,-1.36,0.00
-0.72,-0.31,0.00
-0.44,-0.92,0.00
-0.53,-1.07,0.00
0.93,1.24,1.00
-1.68,-0.53,0.00
-0.81,-1.17,0.00
-1.13,0.63,0.00
0.91,-0.43,1.00
-1.38,0.07,0.00
-1.06,0.15,0.00
-0.98,0.20,0.00
-0.94,0.81,0.00
-0.66,1.39,0.00
-0.84,0.86,0.00
-1.00,-1.67,0.00
-0.55,-1.24,0.00
-0.77,-1.76,0.00
-0.89,0.93,0.00
-1.16,-0.52,0.00
-1.10,-2.16,0.00
-0.78,-1.43,0.00
-1.50,-0.28,0.00
0.87,-0.94,1.00
1.13,-1.51,1.00
-1.21,0.98,0.00
-0.87,1.33,0.00
-1.05,0.30,0.00
-1.09,1.22,0.00
-0.44,-1.39,0.00
-0.43,1.54,0.00
-0.62,-1.03,0.00
-1.39,-0.25,0.00
-1.07,-1.57,0.00
-0.52,0.65,0.00
-1.77,-1.29,0.00
-1.05,-0.92,0.00
-1.26,-0.89,0.00
0.86,1.06,1.00
-2.01,0.88,0.00
-1.61,-0.84,0.00
-0.94,1.37,0.00
0.93,-1.72,1.00
-0.96,2.45,0.00
-2.14,-1.47,0.00
-1.18,1.80,0.00
-1.62,2.27,0.00
-0.57,-1.23,0.00
0.94,1.14,1.00
1.05,-1.21,1.00
-1.33,0.02,0.00
-1.75,1.45,0.00
-0.14,0.15,0.00
-1.04,2.71,0.00
-0.87,-2.32,0.00
-1.69,-0.41,0.00
-1.49,-0.40,0.00
1.02,-0.23,1.00
-1.38,1.25,0.00
-0.26,2.23,0.00
-1.55,0.10,0.00
-0.89,1.66,0.00
-1.27,0.12,0.00
-0.68,1.39,0.00
-1.36,-1.57,0.00
-0.29,0.82,0.00
-0.98,2.17,0.00
1.08,0.72,1.00
-0.75,2.09,0.00
-1.18,-1.85,0.00
-0.74,1.27,0.00
-0.04,-1.40,0.00
1.18,-0.15,1.00
-0.35,-1.24,0.00
-1.00,1.65,0.00
-1.65,0.56,0.00
-1.08,1.78,0.00
-1.48,-0.67,0.00
-1.24,-1.49,0.00
-1.21,2.11,0.00
-1.13,1.90,0.00
-0.73,2.30,0.00
-0.98,-0.37,0.00
-1.08,-1.59,0.00
-1.35,-0.80,0.00
-0.69,-0.29,0.00
-1.14,2.67,0.00
-1.73,1.59,0.00
0.12,1.44,0.00
-0.14,1.21,0.00
-0.77,-0.37,0.00
-0.92,1.22,0.00
-1.57,0.63,0.00
-1.50,1.68,0.00
-1.09,-0.74,0.00
-2.40,-0.09,0.00
0.28,-0.35,0.00
0.04,-1.59,0.00
-0.74,-0.95,0.00
-1.09,0.74,0.00
-1.29,-1.70,0.00
-1.14,-0.64,0.00
-1.39,-1.74,0.00
-0.92,-1.84,0.00
-0.84,-1.05,0.00
-1.75,1.44,0.00
-0.75,-1.03,0.00
-1.35,-2.25,0.00
-0.34,1.85,0.00
-1.67,1.82,0.00
-1.03,0.89,0.00
-0.20,1.21,0.00
-1.47,-0.84,0.00
-0.67,1.17,0.00
-1.02,-0.23,0.00
-0.48,-0.81,0.00
-0.84,-0.23,0.00
1.05,0.79,1.00
-0.91,-0.64,0.00
-1.02,2.12,0.00
-1.11,-0.24,0.00
-0.83,-1.88,0.00
-1.54,-0.30,0.00
-1.43,1.80,0.00
-0.53,-0.27,0.00
-1.38,1.70,0.00
-1.57,-1.76,0.00
-0.74,-0.54,0.00
-1.26,1.93,0.00
-1.35,-0.73,0.00
-0.66,-0.92,0.00
-0.90,2.03,0.00
-0.52,0.47,0.00
-1.26,0.25,0.00
-0.75,1.40,0.00
-1.41,1.03,0.00
-0.40,-0.59,0.00
-0.16,-1.40,0.00
-0.32,0.46,0.00
1.01,-1.94,1.00
-1.71,0.26,0.00
-0.80,1.29,0.00
-0.25,-1.10,0.00
-0.60,-1.29,0.00
-1.42,1.48,0.00
-0.40,1.37,0.00
-1.39,-0.82,0.00
-0.99,-1.14,0.00
-0.99,1.37,0.00
1.00,-1.38,1.00
-1.56,1.51,0.00
-0.24,-0.17,0.00
-0.89,1.13,0.00
-0.56,-0.48,0.00
0.71,1.68,1.00
-0.93,-0.95,0.00
-1.67,1.19,0.00
-0.21,-0.28,0.00
-1.17,-0.43,0.00
-1.29,-0.16,0.00
-0.92,-0.21,0.00
-0.51,-0.71,0.00
-1.21,0.43,0.00
-1.52,0.96,0.00
-1.54,1.53,0.00
-2.33,-0.71,0.00
-1.04,1.59,0.00
-1.26,1.81,0.00
-1.35,-0.34,0.00
-0.57,0.53,0.00
1.17,-0.95,1.00
-0.99,1.26,0.00
-0.87,1.10,0.00
-1.21,-1.07,0.00
1.05,0.31,1.00
-1.65,1.55,0.00
-1.35,-0.76,0.00
-0.92,-1.44,0.00
-0.72,-1.07,0.00
-0.49,-1.47,0.00
-1.48,-0.75,0.00
-0.99,-1.35,0.00
-0.75,-0.83,0.00
-1.38,2.07,0.00
-0.20,1.22,0.00
-0.25,-1.75,0.00
-0.86,-1.30,0.00
-0.76,-1.45,0.00
-1.32,1.31,0.00
0.88,1.19,1.00
-0.85,0.66,0.00
-0.34,0.65,0.00
-1.48,-0.10,0.00
-0.17,1.07,0.00
-0.38,-0.08,0.00
-1.10,-0.29,0.00
-0.73,-0.67,0.00
0.31,0.18,0.00
-1.38,-0.56,0.00
-1.47,-0.71,0.00
0.99,1.11,1.00
-0.78,1.94,0.00
1.04,0.85,0.00
-1.25,-0.62,0.00
-1.11,-0.05,0.00
-1.47,1.63,0.00
-1.01,1.24,0.00
-0.63,-0.93,0.00
-0.99,-1.07,0.00
-0.75,1.62,0.00
-0.36,1.72,0.00
-1.04,-0.22,0.00
-1.35,1.22,0.00
0.98,-0.78,1.00
-0.75,0.93,0.00
-1.32,1.82,0.00
-1.89,-0.99,0.00
-0.98,1.31,0.00
-1.56,0.43,0.00
-1.34,0.53,0.00
-0.91,-0.93,0.00
-1.76,-1.03,0.00
-1.95,-0.05,0.00
-0.99,-1.42,0.00
-1.56,-0.68,0.00
-0.63,1.03,0.00
-0.36,0.70,0.00
-0.42,-0.82,0.00
-0.98,-1.22,0.00
1.09,0.77,1.00
-0.39,-0.49,0.00
-1.46,-1.41,0.00
-1.32,1.44,0.00
-0.62,1.73,0.00
0.90,1.12,1.00
0.92,-1.53,1.00
-0.65,-1.63,0.00
-1.45,1.53,0.00
0.76,1.16,1.00
-1.04,0.97,0.00
-0.88,1.18,0.00
-1.01,-1.24,0.00
-0.48,0.67,0.00
1.08,-0.81,1.00
0.89,-1.58,1.00
1.02,-0.55,1.00
-1.72,-1.83,0.00
-0.90,2.07,0.00
-1.18,2.19,0.00
-0.84,0.14,0.00
-0.48,-0.97,0.00
-1.03,0.15,0.00
-0.14,-0.42,0.00
-0.97,-0.66,0.00
-1.61,-0.78,0.00
-1.19,0.62,0.00
1.21,0.75,1.00
-1.09,-0.73,0.00
-1.80,1.08,0.00
-0.23,-1.02,0.00
1.03,-0.92,1.00
-0.84,-1.32,0.00
0.07,-0.54,0.00
-0.12,-0.80,0.00
-1.71,0.68,0.00
-0.77,-1.43,0.00
1.11,-0.50,1.00
-0.21,-0.60,0.00
-0.09,-1.06,0.00
0.81,-1.12,1.00
-1.05,-1.16,0.00
1.06,-0.95,1.00
-1.17,-1.99,0.00
-0.29,-0.32,0.00
-0.76,-1.74,0.00
-1.22,1.22,0.00
-0.26,-0.55,0.00
-0.91,1.00,0.00
-1.33,2.22,0.00
-1.36,1.77,0.00
-0.67,-0.92,0.00
-1.65,-1.31,0.00
-2.09,-1.16,0.00
-1.66,-1.29,0.00
-0.85,0.07,0.00
-0.56,1.60,0.00
-1.21,0.69,0.00
-1.82,1.05,0.00
-0.29,-1.14,0.00
-0.91,0.96,0.00
-0.91,1.26,0.00
-1.44,0.80,0.00
-0.41,-0.80,0.00
1.03,0.92,1.00
-0.96,0.37,0.00
-2.06,2.45,0.00
-0.47,0.83,0.00
-2.09,-1.63,0.00
-1.63,0.94,0.00
-0.24,1.10,0.00
-0.86,1.41,0.00
-1.43,0.04,0.00
-0.87,1.74,0.00
-1.85,1.73,0.00
0.10,-1.47,0.00
-0.51,-1.21,0.00
-1.36,-1.48,0.00
-0.65,1.35,0.00
-1.15,2.73,0.00
-1.64,-0.75,0.00
-0.24,-0.26,0.00
-0.14,-0.02,0.00
-1.04,0.29,0.00
-0.87,0.89,0.00
-0.54,0.75,0.00
-1.43,0.87,0.00
-1.06,-0.82,0.00
-1.08,0.46,0.00
-0.84,-0.14,0.00
-1.03,-0.63,0.00
0.17,0.64,0.00
-1.26,0.60,0.00
-1.18,-0.39,0.00
-0.19,-1.69,0.00
-1.19,-1.70,0.00
-2.57,-1.43,0.00
1.22,0.33,1.00
-1.22,1.27,0.00
-1.05,0.67,0.00
1.13,0.67,1.00
0.66,-0.76,0.00
0.27,-2.00,0.00
-1.76,-0.17,0.00
-1.74,-0.85,0.00
0.03,-0.06,0.00
-0.75,-0.67,0.00
0.89,1.11,1.00
-0.57,0.56,0.00
-1.54,2.26,0.00
-0.24,-0.45,0.00
1.60,-0.04,1.00
-1.28,-0.35,0.00
1.03,-1.48,1.00
-0.35,1.37,0.00
-1.65,1.76,0.00
-1.74,1.00,0.00
-0.07,-0.36,0.00
-0.82,0.93,0.00
-1.38,-0.30,0.00
-0.89,0.19,0.00
1.12,-0.64,1.00
-1.17,0.99,0.00
0.27,-0.61,0.00
-1.33,-1.36,0.00
-0.89,1.47,0.00
-1.46,-1.54,0.00
-1.39,1.25,0.00
-1.18,-1.31,0.00
-0.23,-1.22,0.00
-0.22,0.94,0.00
-1.85,0.60,0.00
-0.61,0.03,0.00
-1.45,-1.15,0.00
-2.12,-1.00,0.00
-1.67,0.20,0.00
-1.06,0.58,0.00
-1.22,1.34,0.00
-1.23,0.20,0.00
-1.50,-0.85,0.00
-0.62,1.81,0.00
-0.90,0.42,0.00
-1.69,0.07,0.00
-0.46,-1.56,0.00
-0.65,0.68,0.00
-0.60,-1.06,0.00
0.98,-1.08,1.00
-0.46,0.70,0.00
-0.12,-0.69,0.00
-1.34,-1.34,0.00
-0.18,0.52,0.00
-0.87,-0.55,0.00
-0.29,-0.83,0.00
-0.97,-0.75,0.00
-1.36,0.71,0.00
-0.95,0.64,0.00
-1.79,-0.12,0.00
-1.71,0.28,0.00
-1.83,-2.55,0.00
-1.06,2.47,0.00
-1.36,-1.27,0.00
-1.60,1.03,0.00
-0.73,0.82,0.00
-1.39,0.85,0.00
-1.44,-1.59,0.00
-1.10,-0.43,0.00
-1.30,1.03,0.00
-1.03,-1.41,0.00
-1.10,-0.56,0.00
-1.86,1.88,0.00
-1.24,1.76,0.00
0.98,1.20,1.00
-0.95,0.71,0.00
-1.62,0.65,0.00
-1.07,-0.37,0.00
-0.85,-1.16,0.00
-1.68,0.99,0.00
-0.07,0.76,0.00
-0.53,1.19,0.00
-1.68,-1.26,0.00
-1.13,-0.94,0.00
-0.74,-1.78,0.00
-1.43,1.40,0.00
-1.83,1.36,0.00
-1.46,0.14,0.00
-0.22,2.19,0.00
-1.01,-1.82,0.00
-1.22,0.95,0.00
-0.74,0.08,0.00
-1.10,0.56,0.00
0.03,0.91,0.00
-1.87,-2.25,0.00
-1.58,0.61,0.00
-1.16,-1.34,0.00
-1.05,-1.74,0.00
-0.78,1.09,0.00
-1.09,-0.86,0.00
-0.90,1.99,0.00
-0.57,0.07,0.00
1.16,-0.69,1.00
-1.02,0.34,0.00
-1.20,1.41,0.00
-0.20,-0.68,0.00
-0.83,0.96,0.00
-0.71,-0.34,0.00
-0.36,0.10,0.00
-1.10,-1.31,0.00
-1.85,-0.50,0.00
-1.41,0.49,0.00
-0.56,-0.58,0.00
-0.63,-0.90,0.00
-1.91,-1.54,0.00
-1.39,-1.56,0.00
-0.96,0.69,0.00
-1.42,0.04,0.00
-1.05,-0.88,0.00
-0.70,2.78,0.00
-2.92,-0.89,0.00
-1.25,1.51,0.00
-0.44,-1.22,0.00
-1.32,-0.82,0.00
-2.35,-1.33,0.00
-1.68,1.79,0.00
-1.43,1.95,0.00
0.20,0.77,0.00
-1.08,0.67,0.00
-0.22,0.41,0.00
1.07,-0.74,1.00
-0.54,-0.62,0.00
0.14,-0.63,0.00
-0.08,1.84,0.00
-1.32,0.97,0.00
1.07,-0.27,1.00
-1.52,1.80,0.00
-0.27,-1.22,0.00
-1.25,0.02,0.00
-0.97,-1.71,0.00
-2.25,0.78,0.00
-0.50,0.20,0.00
1.36,0.61,1.00
-0.27,-0.51,0.00
1.02,-2.87,1.00
-0.98,2.41,0.00
-1.66,-1.50,0.00
-0.28,-0.58,0.00
-0.52,1.55,0.00
1.14,0.82,1.00
-1.67,1.19,0.00
-1.37,-0.79,0.00
-1.99,1.99,0.00
-1.28,-1.54,0.00
-0.60,-0.77,0.00
-1.46,-0.73,0.00
-0.80,-0.66,0.00
-0.23,-1.76,0.00
-1.53,1.24,0.00
-1.47,-1.73,0.00
1.43,-0.10,1.00
-1.15,1.94,0.00
-0.23,-0.51,0.00
1.12,-0.87,1.00
-0.48,-0.32,0.00
-1.55,0.85,0.00
0.91,-0.07,1.00
-0.92,-0.59,0.00
-1.13,-1.50,0.00
-1.68,-0.04,0.00
-0.95,-1.57,0.00
-1.58,1.37,0.00
-1.13,-0.77,0.00
-0.64,-0.38,0.00
-0.92,0.42,0.00
-0.89,-0.36,0.00
-1.92,-0.24,0.00
-1.04,-1.80,0.00
-0.71,0.07,0.00
-2.47,0.56,0.00
-0.33,-1.60,0.00
-1.24,-0.21,0.00
-1.93,-0.36,0.00
-0.06,-0.53,0.00
-0.38,1.27,0.00
-0.86,0.69,0.00
-1.59,0.76,0.00
-1.19,0.18,0.00
-0.68,-0.50,0.00
0.18,-1.09,0.00
0.94,-0.86,1.00
-1.98,0.18,0.00
0.94,0.96,1.00
-0.26,-1.00,0.00
-0.72,-0.70,0.00
-0.79,-1.53,0.00
-1.66,-0.68,0.00
-1.03,1.08,0.00
-0.57,-1.48,0.00
-0.02,1.27,0.00
-0.88,-0.80,0.00
1.24,0.21,1.00
0.01,-0.72,0.00
-1.09,-1.27,0.00
-0.58,-0.22,0.00
0.96,1.06,1.00
-1.25,-1.38,0.00
-1.46,-1.17,0.00
-1.25,-0.10,0.00
-0.79,-0.70,1.00
-0.91,-0.65,0.00
-1.08,1.14,0.00
-1.68,-0.61,0.00
-0.49,0.70,0.00
-0.91,-1.26,0.00
-1.01,-1.81,0.00
-1.79,1.38,0.00
-2.67,-1.93,0.00
-1.79,-1.62,0.00
-0.70,0.67,0.00
-1.52,0.04,0.00
-0.51,-0.82,0.00
0.11,-0.19,0.00
-0.76,1.84,0.00
-0.56,0.06,0.00
1.26,-1.57,1.00
-1.38,-1.61,0.00
-0.83,-1.85,0.00
-1.42,-1.14,0.00
-1.06,0.16,0.00
-1.65,1.01,0.00
0.75,1.45,1.00
-1.30,1.45,0.00
-0.70,1.43,0.00
-0.82,0.16,0.00
-0.95,-1.46,0.00
-0.10,-1.21,0.00
-1.57,1.90,0.00
-1.65,0.16,0.00
1.04,-0.79,1.00
-0.98,0.45,0.00
-1.16,-0.40,0.00
-1.76,1.38,0.00
-1.59,-0.11,0.00
-2.42,-0.88,0.00
-1.31,1.27,0.00
-2.12,-1.63,0.00
-1.79,-1.76,0.00
-0.33,-0.99,0.00
0.08,-0.63,0.00
-0.03,-0.80,0.00
1.19,0.61,1.00
-1.40,0.86,0.00
-1.12,-0.93,0.00
-0.61,-1.28,0.00
-1.57,1.90,0.00
-0.81,-0.95,0.00
-0.83,-1.46,0.00
-1.01,0.87,0.00
-0.91,0.68,0.00
-1.73,-0.70,0.00
-1.45,0.59,0.00
-1.48,-0.96,0.00
-0.79,0.77,0.00
-0.87,-0.06,0.00
-1.19,0.60,0.00
-2.02,-1.62,0.00
0.19,-0.66,0.00
0.61,-1.53,1.00
-0.85,1.43,0.00
-1.11,0.81,0.00
-1.35,-0.56,0.00
-1.04,0.58,0.00
-1.02,-1.62,0.00
-0.52,-1.74,0.00
