ds,y
2018-08-08,284
2018-08-09,355
2018-08-10,239
2018-08-11,683
2018-08-12,777
2018-08-13,323
2018-08-14,324
2018-08-15,391
2018-08-16,302
2018-08-17,371
2018-08-18,701
2018-08-19,845
2018-08-20,362
2018-08-21,303
2018-08-22,336
2018-08-23,359
2018-08-24,318
2018-08-25,827
2018-08-26,780
2018-08-27,374
2018-08-28,257
2018-08-29,372
2018-08-30,426
2018-08-31,285
2018-09-01,997
2018-09-02,737
2018-09-03,407
2018-09-04,316
2018-09-05,421
2018-09-06,407
2018-09-07,274
2018-09-08,856
2018-09-09,812
2018-09-10,342
2018-09-11,251
2018-09-12,349
2018-09-13,415
2018-09-14,441
2018-09-15,886
2018-09-16,1219
2018-09-17,450
2018-09-18,413
2018-09-19,325
2018-09-20,410
2018-09-21,331
2018-09-22,747
2018-09-23,840
2018-09-24,407
2018-09-25,421
2018-09-26,409
2018-09-27,453
2018-09-28,421
2018-09-29,764
2018-09-30,869
2018-10-01,838
2018-10-02,295
2018-10-03,314
2018-10-04,418
2018-10-05,320
2018-10-06,762
2018-10-07,687
2018-10-08,354
2018-10-09,342
2018-10-10,390
2018-10-11,385
2018-10-12,335
2018-10-13,809
2018-10-14,906
2018-10-15,314
2018-10-16,374
2018-10-17,285
2018-10-18,356
2018-10-19,367
2018-10-20,722
2018-10-21,1072
2018-10-22,331
2018-10-23,287
2018-10-24,248
2018-10-25,406
2018-10-26,300
2018-10-27,835
2018-10-28,1119
2018-10-29,264
2018-10-30,365
2018-10-31,357
2018-11-01,345
2018-11-02,304
2018-11-03,758
2018-11-04,917
2018-11-05,315
2018-11-06,253
2018-11-07,333
2018-11-08,383
2018-11-09,265
2018-11-10,853
2018-11-11,803
2018-11-12,285
2018-11-13,350
2018-11-14,285
2018-11-15,384
2018-11-16,355
2018-11-17,785
2018-11-18,974
2018-11-19,339
2018-11-20,277
2018-11-21,366
2018-11-22,572
2018-11-23,447
2018-11-24,1283
2018-11-25,1333
2018-11-26,418
2018-11-27,374
2018-11-28,307
2018-11-29,409
2018-11-30,270
2018-12-01,661
2018-12-02,727
2018-12-03,367
2018-12-04,324
2018-12-05,344
2018-12-06,413
2018-12-07,264
2018-12-08,726
2018-12-09,932
2018-12-10,333
2018-12-11,322
2018-12-12,365
2018-12-13,368
2018-12-14,280
2018-12-15,745
2018-12-16,638
2018-12-17,347
2018-12-18,301
2018-12-19,381
2018-12-20,400
2018-12-21,352
2018-12-22,478
2018-12-23,583
2018-12-24,349
2018-12-26,1451
2018-12-27,1070
2018-12-28,880
2018-12-29,1247
2018-12-30,1022
2018-12-31,549
2019-01-01,18
2019-01-02,705
2019-01-03,670
2019-01-04,555
2019-01-05,747
2019-01-06,734
2019-01-07,429
2019-01-08,640
2019-01-09,444
2019-01-10,532
2019-01-11,421
2019-01-12,923
2019-01-13,951
2019-01-14,371
2019-01-15,457
2019-01-16,382
2019-01-17,360
2019-01-18,496
2019-01-19,843
2019-01-20,1085
2019-01-21,460
2019-01-22,419
2019-01-23,346
2019-01-24,503
2019-01-25,411
2019-01-26,809
2019-01-27,882
2019-01-28,945
2019-01-29,315
2019-01-30,265
2019-01-31,426
2019-02-01,407
2019-02-02,884
2019-02-03,1051
2019-02-04,390
2019-02-05,340
2019-02-06,379
2019-02-07,544
2019-02-08,337
2019-02-09,990
2019-02-10,1045
2019-02-11,419
2019-02-12,398
2019-02-13,412
2019-02-14,483
2019-02-15,418
2019-02-16,960
2019-02-17,1009
2019-02-18,505
2019-02-19,340
2019-02-20,397
2019-02-21,608
2019-02-22,268
2019-02-23,1147
2019-02-24,1314
2019-02-25,323
2019-02-26,395
2019-02-27,345
2019-02-28,457
2019-03-01,340
2019-03-02,858
2019-03-03,1205
2019-03-04,325
2019-03-05,287
2019-03-06,347
2019-03-07,396
2019-03-08,270
2019-03-09,756
2019-03-10,925
2019-03-11,337
2019-03-12,329
2019-03-13,307
2019-03-14,369
2019-03-15,313
2019-03-16,890
2019-03-17,867
2019-03-18,388
2019-03-19,291
2019-03-20,325
2019-03-21,430
2019-03-22,250
2019-03-23,698
2019-03-24,725
2019-03-25,224
2019-03-26,276
2019-03-27,270
2019-03-28,483
2019-03-29,327
2019-03-30,894
2019-03-31,1126
2019-04-01,303
2019-04-02,260
2019-04-03,244
2019-04-04,382
2019-04-05,293
2019-04-06,760
2019-04-07,905
2019-04-08,290
2019-04-09,373
2019-04-10,308
2019-04-11,494
2019-04-12,281
2019-04-13,739
2019-04-14,899
2019-04-15,405
2019-04-16,513
2019-04-17,370
2019-04-18,455
2019-04-20,956
2019-04-21,159
2019-04-22,889
2019-04-23,506
2019-04-24,430
2019-04-25,338
2019-04-26,495
2019-04-27,898
2019-04-28,958
2019-04-29,356
2019-04-30,308
2019-05-01,311
2019-05-02,347
2019-05-03,243
2019-05-04,743
2019-05-05,891
2019-05-06,244
2019-05-07,297
2019-05-08,376
2019-05-09,308
2019-05-10,328
2019-05-11,619
2019-05-12,526
2019-05-13,251
2019-05-14,272
2019-05-15,311
2019-05-16,403
2019-05-17,367
2019-05-18,726
2019-05-19,823
2019-05-20,280
2019-05-21,317
2019-05-22,346
2019-05-23,392
2019-05-24,331
2019-05-25,779
2019-05-26,885
2019-05-27,360
2019-05-28,346
2019-05-29,362
2019-05-30,373
2019-05-31,280
2019-06-01,842
2019-06-02,894
2019-06-03,347
2019-06-04,288
2019-06-05,338
2019-06-06,429
2019-06-07,356
2019-06-08,1022
2019-06-09,999
2019-06-10,898
2019-06-11,327
2019-06-12,394
2019-06-13,348
2019-06-14,329
2019-06-15,1014
2019-06-16,1105
2019-06-17,368
2019-06-18,347
2019-06-19,286
2019-06-20,478
2019-06-21,374
2019-06-22,944
2019-06-23,1113
2019-06-24,489
2019-06-25,383
2019-06-26,475
2019-06-27,745
2019-06-28,478
2019-06-29,1350
2019-06-30,1958
2019-07-01,428
2019-07-02,298
2019-07-03,369
2019-07-04,376
2019-07-05,421
2019-07-06,904
2019-07-07,903
2019-07-08,393
2019-07-09,390
2019-07-10,474
2019-07-11,511
2019-07-12,403
2019-07-13,917
2019-07-14,1005
2019-07-15,383
2019-07-16,503
2019-07-17,404
2019-07-18,537
2019-07-19,359
2019-07-20,925
2019-07-21,976
2019-07-22,350
2019-07-23,402
2019-07-24,370
2019-07-25,535
2019-07-26,449
2019-07-27,1032
2019-07-28,1389
2019-07-29,366
2019-07-30,406
2019-07-31,302
2019-08-01,510
2019-08-02,438
2019-08-03,1063
2019-08-04,1117
2019-08-05,401
2019-08-06,364
2019-08-07,343
2019-08-08,411
2019-08-09,404
2019-08-10,893
2019-08-11,1026
2019-08-12,439
2019-08-13,330
2019-08-14,354
2019-08-15,473
2019-08-16,348
2019-08-17,890
2019-08-18,1006
2019-08-19,377
2019-08-20,348
2019-08-21,317
2019-08-22,437
2019-08-23,291
2019-08-24,966
2019-08-25,1024
2019-08-26,405
2019-08-27,424
2019-08-28,392
2019-08-29,442
2019-08-30,369
2019-08-31,987
2019-09-01,845
2019-09-02,430
2019-09-03,309
2019-09-04,403
2019-09-05,409
2019-09-06,232
2019-09-07,965
2019-09-08,1078
2019-09-09,430
2019-09-10,384
2019-09-11,285
2019-09-12,543
2019-09-13,382
2019-09-14,893
2019-09-15,918
2019-09-16,410
2019-09-17,300
2019-09-18,408
2019-09-19,428
2019-09-20,339
2019-09-21,1070
2019-09-22,1020
2019-09-23,475
2019-09-24,463
2019-09-25,547
2019-09-26,489
2019-09-27,349
2019-09-28,787
2019-09-29,1005
2019-09-30,474
2019-10-01,289
2019-10-02,477
2019-10-03,477
2019-10-04,318
2019-10-05,945
2019-10-06,744
2019-10-07,635
2019-10-08,474
2019-10-09,376
2019-10-10,432
2019-10-11,366
2019-10-12,929
2019-10-13,1109
2019-10-14,254
2019-10-15,319
2019-10-16,311
2019-10-17,498
2019-10-18,308
2019-10-19,902
2019-10-20,908
2019-10-21,352
2019-10-22,346
2019-10-23,376
2019-10-24,453
2019-10-25,413
2019-10-26,881
2019-10-27,964
2019-10-28,415
2019-10-29,371
2019-10-30,366
2019-10-31,417
2019-11-01,414
2019-11-02,1032
2019-11-03,1115
2019-11-04,407
2019-11-05,259
2019-11-06,317
2019-11-07,500
2019-11-08,424
2019-11-09,875
2019-11-10,1104
2019-11-11,400
2019-11-12,288
2019-11-13,377
2019-11-14,574
2019-11-15,359
2019-11-16,1107
2019-11-17,960
2019-11-18,416
2019-11-19,379
2019-11-20,390
2019-11-21,480
2019-11-22,480
2019-11-23,1068
2019-11-24,954
2019-11-25,388
2019-11-26,363
2019-11-27,431
2019-11-28,653
2019-11-29,834
2019-11-30,1394
2019-12-01,1562
2019-12-02,564
2019-12-03,389
2019-12-04,370
2019-12-05,445
2019-12-06,353
2019-12-07,792
2019-12-08,923
2019-12-09,451
2019-12-10,374
2019-12-11,387
2019-12-12,471
2019-12-13,357
2019-12-14,875
2019-12-15,775
2019-12-16,384
2019-12-17,340
2019-12-18,304
2019-12-19,412
2019-12-20,322
2019-12-21,514
2019-12-22,688
2019-12-23,424
2019-12-24,246
2019-12-26,1604
2019-12-27,1111
2019-12-28,1069
2019-12-29,1169
2019-12-30,811
2019-12-31,573
2020-01-01,41
2020-01-02,866
2020-01-03,692
2020-01-04,725
2020-01-05,878
2020-01-06,500
2020-01-07,561
2020-01-08,493
2020-01-09,453
2020-01-10,379
2020-01-11,857
2020-01-12,1002
2020-01-13,507
2020-01-14,492
2020-01-15,383
2020-01-16,614
2020-01-17,441
2020-01-18,957
2020-01-19,1073
2020-01-20,447
2020-01-21,445
2020-01-22,457
2020-01-23,538
2020-01-24,451
2020-01-25,838
2020-01-26,705
2020-01-27,854
2020-01-28,349
2020-01-29,418
2020-01-30,527
2020-01-31,381
2020-02-01,724
2020-02-02,965
2020-02-03,418
2020-02-04,314
2020-02-05,334
2020-02-06,504
2020-02-07,366
2020-02-08,1057
2020-02-09,734
2020-02-10,306
2020-02-11,300
2020-02-12,517
2020-02-13,464
2020-02-14,374
2020-02-15,910
2020-02-16,1179
2020-02-17,427
2020-02-18,290
2020-02-19,380
2020-02-20,528
2020-02-21,330
2020-02-22,1055
2020-02-23,937
2020-02-24,274
2020-02-25,338
2020-02-26,355
2020-02-27,569
2020-02-28,300
2020-02-29,864
2020-03-01,1032
2020-03-02,335
2020-03-03,322
2020-03-04,347
2020-03-05,434
2020-03-06,368
2020-03-07,925
2020-03-08,923
2020-03-09,293
2020-03-10,276
2020-03-11,377
2020-03-12,462
2020-03-13,392
2020-03-14,787
2020-03-15,897
2020-03-16,294
2020-03-17,357
2020-03-18,229
2020-03-19,295
2020-03-20,284
2020-03-21,810
2020-03-22,639
2020-03-23,278
2020-03-24,222
2020-03-25,255
2020-03-26,259
2020-03-27,245
2020-03-28,518
2020-03-29,418
2020-03-30,208
2020-03-31,185
2020-04-01,220
2020-04-02,240
2020-04-03,230
2020-04-04,449
2020-04-05,526
2020-04-06,230
2020-04-07,211
2020-04-08,182
2020-04-09,281
2020-04-11,602
2020-04-13,621
2020-04-14,287
2020-04-15,346
2020-04-16,305
2020-04-17,371
2020-04-18,642
2020-04-19,628
2020-04-20,268
2020-04-21,316
2020-04-22,389
2020-04-23,345
2020-04-24,343
2020-04-26,1122
2020-04-27,392
2020-04-28,450
2020-04-29,413
2020-04-30,494
2020-05-01,452
2020-05-02,1355
2020-05-03,1267
2020-05-04,408
2020-05-05,424
2020-05-06,437
2020-05-07,389
2020-05-08,404
2020-05-09,1096
2020-05-10,809
2020-05-11,479
2020-05-12,319
2020-05-13,359
2020-05-14,444
2020-05-15,497
2020-05-16,1100
2020-05-17,1106
2020-05-18,490
2020-05-19,426
2020-05-20,412
2020-05-21,442
2020-05-22,485
2020-05-23,1131
2020-05-24,1195
2020-05-25,436
2020-05-26,420
2020-05-27,441
2020-05-28,386
2020-05-29,507
2020-05-30,1139
2020-05-31,1186
2020-06-01,437
2020-06-02,371
2020-06-03,468
2020-06-04,535
2020-06-05,435
2020-06-06,1160
2020-06-07,1245
2020-06-08,926
2020-06-09,524
2020-06-10,449
2020-06-11,497
2020-06-12,502
2020-06-13,1314
2020-06-14,1616
2020-06-15,546
2020-06-16,567
2020-06-17,655
2020-06-18,672
2020-06-19,596
2020-06-20,1409
2020-06-21,1884
2020-06-22,583
2020-06-23,621
2020-06-24,522
2020-06-25,579
2020-06-26,625
2020-06-27,1969
2020-06-28,2236
2020-06-29,832
2020-06-30,974
2020-07-01,647
2020-07-02,602
2020-07-03,603
2020-07-04,1189
2020-07-05,1312
2020-07-06,515
2020-07-07,559
2020-07-08,596
2020-07-09,709
2020-07-10,764
2020-07-11,1246
2020-07-12,1378
2020-07-13,735
2020-07-14,631
2020-07-15,535
2020-07-16,660
2020-07-17,784
2020-07-18,1307
2020-07-19,1339
2020-07-20,486
2020-07-21,531
2020-07-22,489
2020-07-23,551
2020-07-24,448
2020-07-25,1230
2020-07-26,1183
2020-07-27,448
2020-07-28,569
2020-07-29,467
2020-07-30,434
2020-07-31,464
2020-08-01,1108
2020-08-02,1237
2020-08-03,456
2020-08-04,415
2020-08-05,525
2020-08-06,441
2020-08-07,399
2020-08-08,1076
2020-08-09,1194
2020-08-10,474
2020-08-11,534
2020-08-12,477
2020-08-13,516
2020-08-14,478
2020-08-15,1097
2020-08-16,1056
2020-08-17,415
2020-08-18,507
2020-08-19,490
2020-08-20,519
2020-08-21,529
2020-08-22,1132
2020-08-23,1116
2020-08-24,508
2020-08-25,488
2020-08-26,478
2020-08-27,621
2020-08-28,582
2020-08-29,1098
2020-08-30,1137
2020-08-31,481
2020-09-01,416
2020-09-02,467
2020-09-03,573
2020-09-04,501
2020-09-05,881
2020-09-06,862
2020-09-07,454
2020-09-08,448
2020-09-09,421
2020-09-10,529
2020-09-11,543
2020-09-12,1195
2020-09-13,1168
2020-09-14,579
2020-09-15,542
2020-09-16,493
2020-09-17,570
2020-09-18,561
2020-09-19,1171
2020-09-20,1312
2020-09-21,604
2020-09-22,392
2020-09-23,513
2020-09-24,457
2020-09-25,602
2020-09-26,1088
2020-09-27,1155
2020-09-28,619
2020-09-29,485
2020-09-30,529
2020-10-01,664
2020-10-02,639
2020-10-03,1258
2020-10-04,1087
2020-10-05,1008
2020-10-06,473
2020-10-07,499
2020-10-08,516
2020-10-09,493
2020-10-10,796
2020-10-11,1052
2020-10-12,327
2020-10-13,355
2020-10-14,351
2020-10-15,545
2020-10-16,425
2020-10-17,952
2020-10-18,965
2020-10-19,325
2020-10-20,374
2020-10-21,428
2020-10-22,415
2020-10-23,448
2020-10-24,958
2020-10-25,1177
2020-10-26,463
2020-10-27,415
2020-10-28,520
2020-10-29,523
2020-10-30,493
2020-10-31,1150
2020-11-01,1272
2020-11-02,519
2020-11-03,550
2020-11-04,478
2020-11-05,681
2020-11-06,505
2020-11-07,1455
2020-11-08,1232
2020-11-09,519
2020-11-10,526
2020-11-11,493
2020-11-12,560
2020-11-13,454
2020-11-14,1114
2020-11-15,1122
2020-11-16,508
2020-11-17,697
2020-11-18,473
2020-11-19,612
2020-11-20,474
2020-11-21,1120
2020-11-22,1222
2020-11-23,453
2020-11-24,469
2020-11-25,657
2020-11-26,668
2020-11-27,1196
2020-11-28,1711
2020-11-29,1857
2020-11-30,951
2020-12-01,429
2020-12-02,435
2020-12-03,532
2020-12-04,450
2020-12-05,1018
2020-12-06,867
2020-12-07,429
2020-12-08,435
2020-12-09,422
2020-12-10,445
2020-12-11,434
2020-12-12,915
2020-12-13,1073
2020-12-14,496
2020-12-15,569
2020-12-16,491
2020-12-17,536
2020-12-18,487
2020-12-19,868
2020-12-20,922
2020-12-21,592
2020-12-22,554
2020-12-23,562
2020-12-24,602
2020-12-25,3
2020-12-26,2302
2020-12-27,1680
2020-12-28,1557
2020-12-29,1449
2020-12-30,1263
2020-12-31,1078
2021-01-01,238
2021-01-02,1629
2021-01-03,1395
2021-01-04,833
2021-01-05,851
2021-01-06,722
2021-01-07,879
2021-01-08,773
2021-01-09,1002
2021-01-10,856
2021-01-11,524
2021-01-12,573
2021-01-13,611
2021-01-14,622
2021-01-15,687
2021-01-16,1087
2021-01-17,1188
2021-01-18,619
2021-01-19,656
2021-01-20,561
2021-01-21,706
2021-01-22,611
2021-01-23,1359
2021-01-24,1247
2021-01-25,818
2021-01-26,906
2021-01-27,483
2021-01-28,579
2021-01-29,462
2021-01-30,1403
2021-01-31,1501
2021-02-01,524
2021-02-02,638
2021-02-03,396
2021-02-04,696
2021-02-05,572
2021-02-06,1302
2021-02-07,1277
2021-02-08,796
2021-02-09,530
2021-02-10,543
2021-02-11,614
2021-02-12,426
2021-02-13,1158
2021-02-14,1182
2021-02-15,484
2021-02-16,468
2021-02-17,547
2021-02-18,523
2021-02-19,528
2021-02-20,1247
2021-02-21,1429
2021-02-22,609
2021-02-23,519
2021-02-24,576
2021-02-25,709
2021-02-26,484
2021-02-27,1446
2021-02-28,1422
2021-03-01,630
2021-03-02,542
2021-03-03,544
2021-03-04,719
2021-03-05,529
2021-03-06,1338
2021-03-07,1480
2021-03-08,646
2021-03-09,539
2021-03-10,734
2021-03-11,741
2021-03-12,627
2021-03-13,1294
2021-03-14,1567
2021-03-15,554
2021-03-16,598
2021-03-17,547
2021-03-18,913
2021-03-19,847
2021-03-20,1399
2021-03-21,1414
2021-03-22,691
2021-03-23,733
2021-03-24,563
2021-03-25,856
2021-03-26,781
2021-03-27,1497
2021-03-28,1504
2021-03-29,699
2021-03-30,516
2021-03-31,484
2021-04-01,574
2021-04-03,1902
2021-04-04,237
2021-04-05,1629
2021-04-06,780
2021-04-07,732
2021-04-08,788
2021-04-09,594
2021-04-10,1314
2021-04-11,1467
2021-04-12,630
2021-04-13,604
2021-04-14,563
2021-04-15,824
2021-04-16,780
2021-04-17,1406
2021-04-18,1538
2021-04-19,713
2021-04-20,632
2021-04-21,622
2021-04-22,628
2021-04-23,557
2021-04-24,1139
2021-04-25,570
2021-04-26,726
2021-04-27,652
2021-04-28,423
2021-04-29,564
2021-04-30,512
2021-05-01,1140
2021-05-02,1065
2021-05-03,311
2021-05-04,545
2021-05-05,417
2021-05-06,510
2021-05-07,561
2021-05-08,1190
2021-05-09,851
2021-05-10,485
2021-05-11,435
2021-05-12,513
2021-05-13,634
2021-05-14,598
2021-05-15,1087
2021-05-16,1299
2021-05-17,498
2021-05-18,477
2021-05-19,454
2021-05-20,519
2021-05-21,610
2021-05-22,1171
2021-05-23,1343
2021-05-24,600
2021-05-25,365
2021-05-26,795
2021-05-27,633
2021-05-28,573
2021-05-29,1190
2021-05-30,1241
2021-05-31,622
2021-06-01,470
2021-06-02,455
2021-06-03,654
2021-06-04,676
2021-06-05,1382
2021-06-06,1373
2021-06-07,627
2021-06-08,557
2021-06-09,557
2021-06-10,556
2021-06-11,739
2021-06-12,1511
2021-06-13,1568
2021-06-14,1447
2021-06-15,656
2021-06-16,572
2021-06-17,824
2021-06-18,775
2021-06-19,1610
2021-06-20,1740
2021-06-21,749
2021-06-22,553
2021-06-23,607
2021-06-24,850
2021-06-25,644
2021-06-26,1779
2021-06-27,1278
2021-06-28,662
2021-06-29,795
2021-06-30,852
2021-07-01,415
2021-07-02,450
2021-07-03,1117
2021-07-04,1540
2021-07-05,716
2021-07-06,647
2021-07-07,696
2021-07-08,564
2021-07-09,523
2021-07-10,724
2021-07-11,615
2021-07-12,420
2021-07-13,280
2021-07-14,334
2021-07-15,412
2021-07-16,302
2021-07-17,836
2021-07-18,371
2021-07-19,226
2021-07-20,279
2021-07-21,165
2021-07-22,253
2021-07-23,326
2021-07-24,413
2021-07-25,388
2021-07-26,195
2021-07-27,200
2021-07-28,252
2021-07-29,286
2021-07-30,296
2021-07-31,558
2021-08-01,342
2021-08-02,194
2021-08-03,106
2021-08-04,154
2021-08-05,206
2021-08-06,142
2021-08-07,242
2021-08-08,237
2021-08-09,239
2021-08-10,256
2021-08-11,176
2021-08-12,215
2021-08-13,201
2021-08-14,573
2021-08-15,435
2021-08-16,287
2021-08-17,314
2021-08-18,361
2021-08-19,269
2021-08-20,188
2021-08-21,512
2021-08-22,364
2021-08-23,256
2021-08-24,143
2021-08-25,300
2021-08-26,205
2021-08-27,255
2021-08-28,505
2021-08-29,446
2021-08-30,255
2021-08-31,207
2021-09-01,219
2021-09-02,249
2021-09-03,271
2021-09-04,435
2021-09-05,315
2021-09-06,238
2021-09-07,226
2021-09-08,186
2021-09-09,224
2021-09-10,230
2021-09-11,435
2021-09-12,370
2021-09-13,244
2021-09-14,186
2021-09-15,197
2021-09-16,267
2021-09-17,338
2021-09-18,474
2021-09-19,543
2021-09-20,284
2021-09-21,170
2021-09-22,241
2021-09-23,262
2021-09-24,332
2021-09-25,648
2021-09-26,434
2021-09-27,371
2021-09-28,364
2021-09-29,306
2021-09-30,296
2021-10-01,351
2021-10-02,473
2021-10-03,396
2021-10-04,314
2021-10-05,418
2021-10-06,311
2021-10-07,237
2021-10-08,275
2021-10-09,330
2021-10-10,416
2021-10-11,857
2021-10-12,664
2021-10-13,673
2021-10-14,859
2021-10-15,677
2021-10-16,1729
2021-10-17,1644
2021-10-18,755
2021-10-19,792
2021-10-20,621
2021-10-21,769
2021-10-22,721
2021-10-23,1468
2021-10-24,1729
2021-10-25,771
2021-10-26,784
2021-10-27,559
2021-10-28,682
2021-10-29,726
2021-10-30,1302
2021-10-31,1607
2021-11-01,717
2021-11-02,657
2021-11-03,653
2021-11-04,765
2021-11-05,722
2021-11-06,1545
2021-11-07,1692
2021-11-08,779
2021-11-09,527
2021-11-10,631
2021-11-11,741
2021-11-12,610
2021-11-13,1445
2021-11-14,1615
2021-11-15,652
2021-11-16,590
2021-11-17,606
2021-11-18,697
2021-11-19,596
2021-11-20,1322
2021-11-21,1510
2021-11-22,730
2021-11-23,539
2021-11-24,756
2021-11-25,1612
2021-11-26,1686
2021-11-27,2804
2021-11-28,3340
2021-11-29,1599
2021-11-30,529
